path,h1,h2,h3,nframes,fps,size,hash_bits,n_hashes,valid
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch9_main_20240706140003_20240706143003.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch9_main_20240706143003_20240706150003.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch9_main_20240706150003_20240706153003.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch9_main_20240706153003_20240706160003.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch9_main_20240706160003_20240706163003.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch9_main_20240706163003_20240706170003.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch9_main_20240706170003_20240706173003.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch9_main_20240706173003_20240706180003.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch9_main_20240706180003_20240706183003.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch9_main_20240706183003_20240706190003.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch9_main_20240706190003_20240706193003.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch9_main_20240706193003_20240706200003.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch9_main_20240706200003_20240706203003.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch9_main_20240706203003_20240706210003.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch9_main_20240706210003_20240706213003.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch9_main_20240706213003_20240706220003.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch9_main_20240706220003_20240706223003.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch9_main_20240706223003_20240706230003.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch9_main_20240706230003_20240706233003.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch9_main_20240706233003_20240707000000.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch9_main_20240707000000_20240707003003.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
